text,label,intensity,compound_hint
"not gonna lie, this made me really happy",POSITIVE,MEDIUM,0.35
"Alright then, moving on.",POSITIVE,LOW,0.1
"I feel like dancing, everything is so amazing!",POSITIVE,HIGH,0.75
That was a bit disappointing.,NEGATIVE,LOW,-0.1
"Okay, I understand.",NEUTRAL,LOW,0.0
I'm not at my best today.,NEGATIVE,LOW,-0.1
"I love everything about this, it's just perfect!",POSITIVE,HIGH,0.75
I'm looking forward to what comes next.,POSITIVE,MEDIUM,0.35
This is really getting to me and I feel deflated.,NEGATIVE,MEDIUM,-0.35
Overall I feel upbeat and optimistic.,POSITIVE,MEDIUM,0.35
I'm stressed and a bit overwhelmed at the moment.,NEGATIVE,MEDIUM,-0.35
Tell me what my options are.,NEUTRAL,LOW,0.0
This is the most exciting thing that has ever happened to me!,POSITIVE,HIGH,0.75
"That's fine, nothing special but fine.",POSITIVE,LOW,0.1
I feel unsupported and kind of alone in this.,NEGATIVE,MEDIUM,-0.35
"I'm in agony over this, it's destroying me.",NEGATIVE,HIGH,-0.75
That was a pretty good experience overall.,POSITIVE,MEDIUM,0.35
I feel disheartened by the lack of progress.,NEGATIVE,MEDIUM,-0.35
I'm feeling hopeful about where things are headed.,POSITIVE,MEDIUM,0.35
That left a slightly bad taste but I'll move on.,NEGATIVE,LOW,-0.1
"This made my entire week, I'm so happy right now!",POSITIVE,HIGH,0.75
"I hate this so much, it's absolutely terrible.",NEGATIVE,HIGH,-0.75
I'm upset about what happened and want to talk about it.,NEGATIVE,MEDIUM,-0.35
I'm worried this is going to end badly.,NEGATIVE,MEDIUM,-0.35
"Feeling good today, had a productive morning.",POSITIVE,MEDIUM,0.35
I'm bothered by this more than I expected to be.,NEGATIVE,MEDIUM,-0.35
honestly? I'm kind of loving this,POSITIVE,MEDIUM,0.35
"idk man, feeling kinda off today",NEGATIVE,LOW,-0.1
I'm unhappy with the situation and want it resolved.,NEGATIVE,MEDIUM,-0.35
this is lowkey really bothering me,NEGATIVE,LOW,-0.1
"That was a pleasant surprise, I'm glad it happened.",POSITIVE,MEDIUM,0.35
"I feel numb, not happy not sad just... empty.",NEUTRAL,LOW,0.0
Things aren't going well and I'm feeling down.,NEGATIVE,MEDIUM,-0.35
"bruh i give up, nothing works",NEGATIVE,HIGH,-0.75
"It's okay, I guess.",POSITIVE,LOW,0.1
"This is the best day of my life, I couldn't be happier!",POSITIVE,HIGH,0.75
I feel betrayed and deeply hurt by what happened.,NEGATIVE,HIGH,-0.75
I'm relieved it's over even though it was painful.,POSITIVE,LOW,0.1
I feel somewhat drained lately.,NEGATIVE,LOW,-0.1
"It's passable, I have no complaints.",POSITIVE,LOW,0.1
"I'm mildly irritated, nothing serious.",NEGATIVE,LOW,-0.1
"yo this actually slaps, really enjoying it",POSITIVE,HIGH,0.75
I can work with that.,POSITIVE,LOW,0.1
"Not bad, not great, just... there.",NEUTRAL,LOW,0.0
"this is lowkey fire, really impressed",POSITIVE,MEDIUM,0.35
My mood keeps going up and down today.,NEUTRAL,LOW,0.0
"Got it, noted.",NEUTRAL,LOW,0.0
Seems reasonable enough.,POSITIVE,LOW,0.1
"I'll manage, it's okay.",POSITIVE,LOW,0.1
"I enjoyed that, it was quite nice.",POSITIVE,MEDIUM,0.35
Life is wonderful and I am so grateful for everything!,POSITIVE,HIGH,0.75
I'm overjoyed — this is truly incredible news!,POSITIVE,HIGH,0.75
"Feeling a little down, no particular reason.",NEGATIVE,LOW,-0.1
Surprisingly good outcome given how bad it started.,POSITIVE,MEDIUM,0.35
"Things are going well, I'm in a good mood.",POSITIVE,MEDIUM,0.35
"Alright, let's proceed then.",NEUTRAL,LOW,0.0
"I liked it, definitely worth my time.",POSITIVE,MEDIUM,0.35
I feel content and at ease right now.,POSITIVE,MEDIUM,0.35
"Sure, that sounds fine.",POSITIVE,LOW,0.1
This is a total disaster and nobody seems to care!,NEGATIVE,HIGH,-0.75
"This has ruined everything, I'm beyond upset.",NEGATIVE,HIGH,-0.75
I feel absolutely fantastic right now!,POSITIVE,HIGH,0.75
"I'm glad it came together, feeling satisfied.",POSITIVE,MEDIUM,0.35
tbh i dont rly care either way,NEUTRAL,LOW,0.0
